"DateTime","Players"
2015-12-01 00:00:00,3
2015-12-02 00:00:00,NA
2015-12-03 00:00:00,NA
2015-12-04 00:00:00,NA
2015-12-05 00:00:00,NA
2015-12-06 00:00:00,NA
2015-12-07 00:00:00,NA
2015-12-08 00:00:00,NA
2015-12-09 00:00:00,NA
2015-12-10 00:00:00,NA
2015-12-11 00:00:00,NA
2015-12-12 00:00:00,NA
2015-12-13 00:00:00,NA
2015-12-14 00:00:00,NA
2015-12-15 00:00:00,NA
2015-12-16 00:00:00,NA
2015-12-17 00:00:00,NA
2015-12-18 00:00:00,1
2015-12-19 00:00:00,1
2015-12-20 00:00:00,NA
2015-12-21 00:00:00,2
2015-12-22 00:00:00,3
2015-12-23 00:00:00,2
2015-12-24 00:00:00,3
2015-12-25 00:00:00,1
2015-12-26 00:00:00,2
2015-12-27 00:00:00,3
2015-12-28 00:00:00,1
2015-12-29 00:00:00,1
2015-12-30 00:00:00,2
2015-12-31 00:00:00,1
2016-01-01 00:00:00,3
2016-01-02 00:00:00,2
2016-01-03 00:00:00,2
2016-01-04 00:00:00,1
2016-01-05 00:00:00,2
2016-01-06 00:00:00,1
2016-01-07 00:00:00,3
2016-01-08 00:00:00,2
2016-01-09 00:00:00,2
2016-01-10 00:00:00,2
2016-01-11 00:00:00,2
2016-01-12 00:00:00,1
2016-01-13 00:00:00,2
2016-01-14 00:00:00,1
2016-01-15 00:00:00,1
2016-01-16 00:00:00,1
2016-01-17 00:00:00,2
2016-01-18 00:00:00,2
2016-01-19 00:00:00,1
2016-01-20 00:00:00,1
2016-01-21 00:00:00,1
2016-01-22 00:00:00,2
2016-01-23 00:00:00,1
2016-01-24 00:00:00,2
2016-01-25 00:00:00,3
2016-01-26 00:00:00,1
2016-01-27 00:00:00,2
2016-01-28 00:00:00,1
2016-01-29 00:00:00,2
2016-01-30 00:00:00,2
2016-01-31 00:00:00,1
2016-02-01 00:00:00,2
2016-02-02 00:00:00,4
2016-02-03 00:00:00,3
2016-02-04 00:00:00,3
2016-02-05 00:00:00,4
2016-02-06 00:00:00,4
2016-02-07 00:00:00,4
2016-02-08 00:00:00,3
2016-02-09 00:00:00,4
2016-02-10 00:00:00,3
2016-02-11 00:00:00,4
2016-02-12 00:00:00,2
2016-02-13 00:00:00,5
2016-02-14 00:00:00,4
2016-02-15 00:00:00,4
2016-02-16 00:00:00,5
2016-02-17 00:00:00,3
2016-02-18 00:00:00,2
2016-02-19 00:00:00,3
2016-02-20 00:00:00,2
2016-02-21 00:00:00,5
2016-02-22 00:00:00,3
2016-02-23 00:00:00,4
2016-02-24 00:00:00,20
2016-02-25 00:00:00,30
2016-02-26 00:00:00,8715
2016-02-27 00:00:00,17956
2016-02-28 00:00:00,24573
2016-02-29 00:00:00,23508
2016-03-01 00:00:00,28365
2016-03-02 00:00:00,31867
2016-03-03 00:00:00,34735
2016-03-04 00:00:00,37329
2016-03-05 00:00:00,51049
2016-03-06 00:00:00,58847
2016-03-07 00:00:00,53255
2016-03-08 00:00:00,42965
2016-03-09 00:00:00,39653
2016-03-10 00:00:00,39834
2016-03-11 00:00:00,42964
2016-03-12 00:00:00,55255
2016-03-13 00:00:00,64427
2016-03-14 00:00:00,56831
2016-03-15 00:00:00,46357
2016-03-16 00:00:00,43750
2016-03-17 00:00:00,41400
2016-03-18 00:00:00,39215
2016-03-19 00:00:00,52138
2016-03-20 00:00:00,57337
2016-03-21 00:00:00,50947
2016-03-22 00:00:00,41410
2016-03-23 00:00:00,38338
2016-03-24 00:00:00,37279
2016-03-25 00:00:00,41976
2016-03-26 00:00:00,44562
2016-03-27 00:00:00,45841
2016-03-28 01:00:00,44702
2016-03-29 01:00:00,35200
2016-03-30 01:00:00,32533
2016-03-31 01:00:00,31483
2016-04-01 01:00:00,31062
2016-04-02 01:00:00,39924
2016-04-03 01:00:00,43549
2016-04-04 01:00:00,38028
2016-04-05 01:00:00,29360
2016-04-06 01:00:00,27775
2016-04-07 01:00:00,26048
2016-04-08 01:00:00,26241
2016-04-09 01:00:00,34566
2016-04-10 01:00:00,37076
2016-04-11 01:00:00,31835
2016-04-12 01:00:00,23805
2016-04-13 01:00:00,22306
2016-04-14 01:00:00,20225
2016-04-15 01:00:00,20560
2016-04-16 01:00:00,27645
2016-04-17 01:00:00,28969
2016-04-18 01:00:00,23982
2016-04-19 01:00:00,18453
2016-04-20 01:00:00,17596
2016-04-21 01:00:00,16731
2016-04-22 01:00:00,17240
2016-04-23 01:00:00,23135
2016-04-24 01:00:00,24224
2016-04-25 01:00:00,20271
2016-04-26 01:00:00,15541
2016-04-27 01:00:00,14673
2016-04-28 01:00:00,13873
2016-04-29 01:00:00,14161
2016-04-30 01:00:00,18442
2016-05-01 01:00:00,20488
2016-05-02 01:00:00,17501
2016-05-03 01:00:00,13502
2016-05-04 01:00:00,12939
2016-05-05 01:00:00,12969
2016-05-06 01:00:00,12343
2016-05-07 01:00:00,14999
2016-05-08 01:00:00,16136
2016-05-09 01:00:00,13719
2016-05-10 01:00:00,11526
2016-05-11 01:00:00,11002
2016-05-12 01:00:00,10764
2016-05-13 01:00:00,10859
2016-05-14 01:00:00,14213
2016-05-15 01:00:00,15563
2016-05-16 01:00:00,14124
2016-05-17 01:00:00,10597
2016-05-18 01:00:00,10010
2016-05-19 01:00:00,9697
2016-05-20 01:00:00,9780
2016-05-21 01:00:00,12170
2016-05-22 01:00:00,13121
2016-05-23 01:00:00,11493
2016-05-24 01:00:00,9148
2016-05-25 01:00:00,8774
2016-05-26 01:00:00,9012
2016-05-27 01:00:00,8857
2016-05-28 01:00:00,10355
2016-05-29 01:00:00,11432
2016-05-30 01:00:00,10908
2016-05-31 01:00:00,9641
2016-06-01 01:00:00,8095
2016-06-02 01:00:00,8060
2016-06-03 01:00:00,8034
2016-06-04 01:00:00,9691
2016-06-05 01:00:00,10675
2016-06-06 01:00:00,9280
